,CURRENT (A) mean,CURRENT (A) std,CURRENT (A) max,CURRENT (A) rms,CURRENT (A) peak_to_peak,CURRENT (A) skew,CURRENT (A) kurtosis,CURRENT (A) crest_factor,ROTO (RPM) mean,ROTO (RPM) std,ROTO (RPM) max,ROTO (RPM) rms,ROTO (RPM) peak_to_peak,ROTO (RPM) skew,ROTO (RPM) kurtosis,ROTO (RPM) crest_factor,CURRENT (A) Frequency Center,CURRENT (A) Spectrum Area,CURRENT (A) Amp @ 1x RPM,CURRENT (A) Amp @ 2x RPM,CURRENT (A) Amp @ 3x RPM,ROTO (RPM) Frequency Center,ROTO (RPM) Spectrum Area,ROTO (RPM) Amp @ 1x RPM,ROTO (RPM) Amp @ 2x RPM,ROTO (RPM) Amp @ 3x RPM,Class
45,3.9700121862,0.9424243471920148,6.880904000000001,4.080335550498948,6.074312000000003,0.035195540736053736,-0.3706331103675691,1.7332198686740647,22980.22169325,530.0411089871983,25309.379999999997,22986.33345326185,4856.949999999997,-0.10755585621556121,0.5372871808531454,1.1013549102284834,2798.3458256501826,1268424.1734368075,733.4556129648347,192.1922412304077,160.33046118850442,9509.183632771323,1922389719.7406697,93043.37424978366,212298.57587728093,212298.57587728093,Elec_Damage
46,3.1121387158,1.0180446424242313,6.452432000000002,3.2744154241601047,6.7444880000000005,-0.024105453373715263,-0.31429301050399205,2.0733111821917465,21629.2795575,500.972598042649,23598.84,21635.080342955476,4333.560000000001,-0.1109112395467416,0.6889349548693211,1.0910599189059467,3836.0884650036987,1477523.6162404043,1051.514693801019,3276.8842130723087,981.853391751283,9552.587559575115,1827775053.2388208,52211.759849711605,85706.20300093257,85706.20300093257,Healthy
47,3.1558587328,0.9967383113645308,6.392616,3.3095176031485773,6.545511999999999,-0.018320194925147165,-0.30099158400736226,2.0256343966094525,21630.19275,506.301046739757,23670.559999999998,21636.117321357906,4420.539999999997,-0.10936790734958522,0.6016554702019139,1.0943295916768934,3862.7713099760676,1441425.89100295,471.09628623411135,773.151972796267,52.504691129849185,9553.32917276075,1828165381.1504211,193512.2983780263,48646.58911369378,48646.58911369378,Healthy
48,3.0639297076,0.9981503504136245,6.332799999999999,3.222412833195278,6.549175999999999,0.002502494770831055,-0.3371854848437197,2.0668881483448036,21623.94411725,508.73934761016255,23841.46,21629.92761059002,4710.459999999999,-0.10876714119652578,0.6295188501810522,1.1025490942228724,3839.2943407052644,1475803.781838978,2243.49056995929,123.84276279156428,129.0017693440169,9648.894403572713,1847990161.0828824,97289.64806204957,165250.16118328297,165250.16118328297,Healthy
49,3.0749817632,0.9575342055559244,6.116727999999998,3.2206151084891115,6.175623999999999,-0.04138716634981642,-0.30699776642946963,1.9891916346308944,21630.8647245,496.79605900659953,23821.620000000003,21636.568787210806,4452.580000000002,-0.09071604147434977,0.6631019368333138,1.1012791353190177,3712.0191076552305,1343106.6259609992,727.9069758898684,370.4681439783572,411.7250350675477,9529.426137357574,1814354582.643617,103127.7365530621,80230.43748949419,80230.43748949419,Healthy
50,3.08599888,0.9958085738413653,6.216832,3.242683921110618,6.3587440000000015,-0.031256040815730086,-0.3192892973546275,2.014528274877404,21642.71799375,511.40569635099575,23719.39,21648.759119285696,4415.959999999999,-0.1219749003097447,0.6062650274358186,1.0959524587831206,3724.9617895878196,1416080.0111850323,236.0928150826542,998.2354477286136,641.2846271310332,9642.53843365799,1841703239.6407123,199772.93821484025,75047.7120218713,75047.7120218713,Healthy
51,3.1215759054,0.9878534514476298,6.3511120000000005,3.274151214948659,6.284279999999999,0.016095180584246582,-0.3567626359374043,2.0345851558545287,21637.556692,509.7110574580375,23829.25,21643.559283687027,4747.079999999998,-0.10729991612465181,0.5562319215969618,1.101291164210344,3785.0507318426767,1433690.8887926152,920.758455038958,1323.5646931968608,953.410470524788,9638.39689658965,1844595730.631707,93026.11543971255,102537.62671837304,102537.62671837304,Healthy
52,3.0948593204,0.9969689733294778,6.122831999999999,3.251472973618271,6.413671999999998,-0.0068659254081954784,-0.3377073357494704,1.9783878251398659,21657.670885749998,508.6218158910221,23850.609999999997,21663.642304092347,4585.329999999998,-0.10930025764186085,0.5673107794238632,1.1012546143959034,3823.3516046268996,1432972.5766567762,1906.2080442054014,647.6986308831823,510.79011047926906,9675.789066562304,1849547298.2840455,34511.35796817211,111733.25640159991,111733.25640159991,Healthy
53,3.1871840206,0.9758975352369276,6.46952,3.333240791039481,6.435648000000001,7.851134606518699e-05,-0.33754721804354615,2.0298545544232764,21699.72620275,513.8959434959631,23847.559999999998,21705.81027542696,4592.959999999999,-0.10997384584768581,0.5400384829927605,1.0989797648680844,3795.65454979829,1410980.2256617814,624.4492710952707,2298.9095559077537,921.4154711827056,9700.979090669585,1865290062.251598,79801.09222218198,118668.29341617231,118668.29341617231,Healthy
54,3.0426357154000003,0.9931837792098933,6.345008,3.20062829075212,6.700544000000001,-0.030128899403712744,-0.3323099747554199,2.085365647910254,21629.796773500002,515.129599768314,23936.06,21635.929846750427,4762.34,-0.11150461138786041,0.5216401523021768,1.1066243594727412,3810.744192424685,1428908.672939304,765.9128061066268,1179.4034846485783,1171.4456387835437,9669.327780663863,1847412027.512252,123435.86320873811,26380.424749380876,26380.424749380876,Healthy
55,3.111190195,1.0121092222187191,6.298615999999999,3.271672950959093,6.643167999999999,-0.019484857187223186,-0.3139379284490085,2.024503680335107,21657.376473,513.6547060459952,23838.41,21663.466718285606,4513.619999999999,-0.10206878223515765,0.4067237378972961,1.1007062665101228,3787.5842572999595,1464064.388190897,1027.004187761963,597.235207438785,1299.338759368893,9780.482255749781,1872627971.818015,203616.44157680572,124760.29011727471,124760.29011727471,Healthy
56,3.0916709620000002,0.9993192102474805,6.418247999999998,3.2491603923585486,6.633399999999998,0.0388685567754878,-0.3265775216505933,2.0759802963792886,21659.115267250003,505.964869136846,23812.47,21665.024075888112,4702.830000000002,-0.11847900853561813,0.6040636959854604,1.099420253605927,3704.099778282254,1387324.694094741,1593.3970332488564,1558.7525820611834,994.3027356718816,9630.422477581113,1838287101.2376242,203663.37992135348,61890.57327062816,61890.57327062816,Healthy
57,3.0961043712,0.9944638994403872,6.391392,3.25189114219599,6.461279999999999,-0.025988274588990157,-0.31312117417513985,2.0643335087320716,21658.9823965,513.9007426941514,23542.38,21665.078024851173,4219.120000000003,-0.10302360856950314,0.44577395471778347,1.086956883246941,3723.6544890118453,1412984.2516088225,440.0786487890411,1801.0730270506613,1214.369687707157,9668.523469115418,1847563949.1359663,52747.54767732304,176520.95078799877,176520.95078799877,Healthy
58,3.1562413256,0.9808076237627051,6.2839680000000016,3.305120096254661,6.428320000000003,0.00552668215862157,-0.31166325549643714,1.990965630235965,21629.2461625,517.4643691942081,23678.19,21635.435106259643,4473.950000000001,-0.11023619335277096,0.4895493349914295,1.0947302472821445,3735.76930724904,1408606.4764053202,1032.3376141990966,1152.7752960340201,457.47071872640845,9702.448411444697,1849253050.9791899,162570.6605578487,91680.35620974895,91680.35620974895,Healthy
59,3.181800943,0.994086024896854,6.341343999999999,3.333472597846771,6.352632,0.010680552031063452,-0.3531307833322299,1.9930046264996657,21632.05430125,515.5340965658885,24209.2,21638.196367825247,4982.070000000003,-0.10479871871122665,0.48701644740846106,1.1191355043242972,3844.534731469664,1462968.084177203,1148.6135281813526,486.7429996371725,1640.5426742621382,9782.594125281543,1875758451.0384786,104182.93227801468,78158.14716581842,78158.14716581842,Healthy
60,3.1678815448,1.0032337455556617,6.318152000000001,3.322939401818421,6.449072000000001,-0.01508611280862549,-0.33785207278804696,1.9944407360720586,21639.7395765,510.9909590953517,23572.899999999998,21645.771738869087,4306.0999999999985,-0.09741586912018788,0.5107730220835269,1.0893338118356721,3769.3302820256927,1455807.8365977672,935.3131468885738,1430.7923058823112,515.0039156260548,9660.032058866416,1849807757.1467834,51460.94289088511,85291.06781152321,85291.06781152321,Healthy
61,3.1430491126,0.9963802128919216,6.1899760000000015,3.2971967538380214,6.110936000000002,0.0068876298282559,-0.3699874632551765,1.9694175236350397,21654.91795375,512.1978598431546,23545.43,21660.97439342482,4185.549999999999,-0.10239307429336483,0.5306219127982428,1.0873017413544444,3712.727399176365,1419390.8424009345,831.0968994131948,1187.439539021114,1736.4885628833633,9738.457264009287,1860681881.791151,199791.06242172097,240813.3251517227,240813.3251517227,Healthy
62,3.1859322506,0.9860158831258818,6.340119999999999,3.33502133748896,6.493015999999997,-0.0061612552137205005,-0.329351845983592,1.9900360400965764,21667.157175,514.5281041132564,23958.949999999997,21673.265388436444,4657.049999999996,-0.10254407130220759,0.4929015559986971,1.1057726588905865,3716.506179961437,1397066.2759069456,1395.785724861323,429.7933276911332,288.83407588453355,9717.099077411363,1856258421.8762395,196430.1129806231,81447.7638732177,81447.7638732177,Healthy
63,3.1540001062,0.981150038424152,6.12528,3.3030815916995406,6.469832,0.009393753905610822,-0.31344123645551125,1.9420671508409855,21665.686660249998,509.9234911080602,23913.18,21671.686457827167,4496.84,-0.09419853192809736,0.5209938249548918,1.1037351538861435,3769.334798730334,1397387.130393712,773.4696761165786,873.122869998046,637.1367537069829,9696.240290570418,1851483696.2674084,113614.98295764261,96975.77005470457,96975.77005470457,Healthy
64,3.1889521224,0.9908028876053647,6.275424000000001,3.3393235031646067,6.3074639999999995,0.010619248096654547,-0.3163882959296469,1.9678639751032476,21671.81220575,513.47423316096,24052.030000000002,21677.894120002067,4751.6600000000035,-0.11646495990037176,0.5707331415463188,1.1098301227258918,3758.2653115717676,1414103.4241044945,1096.4033554025082,1072.9524997118217,524.3497538994783,9748.841272186908,1864417730.8832743,23034.308411790367,334237.7636745405,334237.7636745405,Healthy
65,3.2304937772,0.9938972225770981,6.584264000000002,3.379925596486137,6.6260720000000015,0.00921384168527472,-0.324246808055082,2.038160248588019,21675.1160905,517.0777401822648,23965.06,21681.282716707727,4657.060000000001,-0.10433699728284172,0.4530285415712121,1.105648518787111,3704.0813367295023,1402350.2387323945,1285.364399480678,1471.4328754415703,1385.337411412651,9714.457615633788,1857651870.5769513,172794.28453458167,98171.53942280158,98171.53942280158,Healthy
66,3.1688598846000002,0.9906780323948329,6.1326,3.3201041242742266,5.962008000000001,-0.002164855682048263,-0.343288406342225,1.9352701676092277,21664.59701425,510.08757279002776,23948.269999999997,21670.600974985246,4643.319999999996,-0.09971751274390414,0.505189549476547,1.1054103607026662,3725.917050347754,1400219.063844737,957.8666049559521,1205.0892132016177,225.5619704663555,9681.823942454412,1849256699.655691,180066.6703124715,172617.46897137613,172617.46897137613,Healthy
67,3.1778277638,0.997680533394225,6.374303999999999,3.3307552985667876,6.504007999999999,0.008078894025089196,-0.2665705848440516,2.005868308097887,21676.38468475,510.5863303320001,23800.26,21682.397120349175,4795.909999999996,-0.10966781911342748,0.5342841086011054,1.0979810676982593,3757.961032721988,1440762.6003935325,554.9953078196601,2464.6354280939577,561.5313251747715,9618.315557675318,1848376976.7467828,351142.28637104086,111298.71297005675,111298.71297005675,Healthy
68,3.1622204922,0.9938014644681041,6.380407999999999,3.314702867684341,6.602888,-0.0025501384165877113,-0.293611220817672,2.0176986442716593,21670.37691725,515.6111781426815,23913.18,21676.50995839356,4658.580000000002,-0.11812792231407876,0.5250277986052598,1.1034962654924885,3754.6869402310213,1432150.1314010834,1082.2785098868649,1142.4957364683983,2355.519888763228,9773.232865486467,1874745499.5346649,81443.42273132998,141502.8171821089,141502.8171821089,Healthy
69,3.1759586776,0.960178267335445,6.421911999999999,3.317925975414221,6.610208,0.01952153716199117,-0.2839392069152731,2.022038902865352,21692.72717375,505.2061555430787,23617.149999999998,21698.609151591234,4301.52,-0.10595757853775474,0.5747981274572931,1.0887128119408935,3654.939120635378,1326986.5847108073,819.8687511647767,89.8997148359345,161.27688190282967,9615.839766465237,1832893883.8844507,113806.72791094134,88077.3248444483,88077.3248444483,Healthy
70,3.1987329862,0.9806301980572328,6.309608000000001,3.34566947881229,6.619976000000001,0.03667907942762094,-0.32538982505633296,1.9725335084925697,21698.267955000003,509.7491963532088,23867.4,21704.25465188926,4600.600000000002,-0.11340799535177538,0.5988020372734137,1.0999679812922651,3667.290499664373,1362267.7717079385,781.0491081128338,932.4181819708497,941.250793285434,9535.084318778834,1823239324.4498749,186276.8415559786,44893.1864278939,44893.1864278939,Healthy
71,3.0932383024,0.9736048111458816,6.330359999999999,3.2428391613002683,6.828720000000001,0.006757802881310698,-0.276722766788299,2.046515457631687,21708.3270875,514.0916546287269,23736.17,21714.41338281993,4336.609999999997,-0.0990670362451787,0.5133629396520072,1.093413136089499,3788.9585629455905,1437262.890265311,1660.2378532843716,1071.3015258922157,1214.8876402069461,9706.9802798966,1861398478.4424317,115609.51240981223,187949.5570516167,187949.5570516167,Healthy
72,3.1600118112,0.9994199003541033,6.786904,3.3142857168843896,7.064312000000001,0.01639532936158382,-0.30726801703268114,2.1477464027018005,21687.24616525,510.9758025426099,23777.370000000003,21693.26476064698,4382.390000000003,-0.10510172147284219,0.5690523490986465,1.0963757140405894,3757.513814886077,1465137.1304483654,1872.8185246095325,1289.6679754654574,618.2752278568478,9644.805983450326,1848185248.7359061,62447.89688223632,65729.22689870876,65729.22689870876,Healthy
73,3.1308032264000003,0.9628950958263401,6.409704000000002,3.2755263132554626,6.442968000000001,0.03653943149267305,-0.32885234146751907,2.0473033712087663,21711.457175,512.354587006992,23696.5,21717.501544192542,4339.669999999998,-0.11209988532210098,0.5220746174897313,1.0914283554991284,3748.182985968732,1355947.329623303,1889.7396731399929,1294.4482914721164,449.1832821849967,9610.083935563978,1841072923.5968056,9137.747791700216,107642.81344895568,107642.81344895568,Healthy
74,3.1439391098,0.9703984504769085,6.359656000000001,3.2902891570482353,6.5320800000000006,0.02991045630172498,-0.3028216890473754,2.0228305249857614,21686.396617500002,510.4166927294168,23862.82,21692.402286021766,4605.170000000002,-0.11298302991594596,0.6071402233575829,1.1003589218110914,3703.8791210880327,1354101.2269023221,1939.758630612974,1347.483096179679,1485.794871985699,9574.538476618987,1832420826.2770028,84715.9900315728,175439.19421049033,175439.19421049033,Healthy
75,3.1911727526,1.0090519395274806,6.470743999999999,3.346900640735456,6.834824,0.004331493971871247,-0.2921126981639173,2.0277009430868245,21724.85339525,516.1376288103799,24032.2,21730.983558896456,4684.52,-0.11887883386518416,0.5555741006645545,1.1062076950657116,3701.1869491878406,1473809.7063170695,1643.1379239273786,922.2347469975444,2100.8754078194406,9677.901777272209,1858648694.3616266,162366.9058051074,118928.86236091708,118928.86236091708,Healthy
76,3.1783547466,1.0171830950500393,6.470743999999999,3.337150652510928,6.693224,0.048807735837916234,-0.32878269185847797,2.035878470432536,21687.047465749998,512.8479490818597,23858.239999999998,21693.11029394461,4618.899999999998,-0.10394726361357932,0.573176352148828,1.1001147130645115,3769.3660419607154,1479207.4766718252,2009.9242347380666,2436.919045037459,925.1601536463627,9663.129897042734,1855066170.2054634,112550.84940668057,62233.64289815822,62233.64289815822,Healthy
77,3.1778418561999997,1.009439375194663,6.4328959999999995,3.334309709822072,6.546727999999998,0.03493393858237301,-0.3552656103729177,2.0242970830815126,21710.7525555,512.2900541233585,23954.38,21716.795598445824,4649.43,-0.10464142409354503,0.5264929830609084,1.1033417629704236,3676.0765891367587,1448344.1497099686,2561.9406453885545,563.267532761677,1563.4446086385983,9664.09969717832,1849577222.1371534,41707.886010082104,139914.00043690403,139914.00043690403,Healthy
78,3.1553643472,1.013034258395066,6.700240000000001,3.3139910857307244,6.958120000000001,0.04174895946172373,-0.2925656618775201,2.123444161351967,21679.754659000002,513.5375492985826,23917.75,21685.835844992263,4644.84,-0.09716638838756,0.43652503333633996,1.1032297355851732,3655.142636547064,1438353.0434039242,271.160501728262,1548.1222711482114,1319.27698587684,9766.169879684865,1867423332.0099688,753453.7712794,19338.437326149222,19338.437326149222,Healthy
79,3.1277592624,0.9958439608727742,6.142368000000001,3.2824622473542475,6.25864,0.029978514948427123,-0.3445281838952856,1.9638237743677316,21714.7863,518.5915392575954,23890.289999999997,21720.97775229807,4521.249999999996,-0.12083313212790045,0.5339376437188701,1.1001853607926133,3692.71311850367,1413419.39146304,1642.020109456936,401.419238937254,688.681255728716,9734.077792739838,1866374453.6187122,86723.54027069658,68727.66200627251,68727.66200627251,Healthy
80,3.1233705504000002,0.9837683446075215,6.215608,3.274632736041392,6.254975999999999,0.029096010580577675,-0.35918202396240373,1.9900322103004997,21709.9931105,510.44349962559403,24000.149999999998,21715.992883367166,4618.899999999998,-0.0970429682185476,0.5401728615166674,1.1054886050789379,3682.767126865492,1348553.738785192,336.61122894532747,678.6577037374664,903.5476022296477,9672.058523775904,1851605420.233648,238969.09907471435,116795.00692408044,116795.00692408044,Healthy
81,3.1655378842,0.9903806982289813,6.46952,3.316844811320202,6.723736,0.025746140330261468,-0.26561484722848094,2.0437348206417023,21711.63530175,512.5854352138562,23687.34,21717.685068533305,4405.279999999999,-0.1055607611918405,0.48624542427872575,1.090997507594039,3679.876956051365,1393404.6781041336,882.3370959203811,554.825704762174,895.0651321501595,9713.686091423404,1862944807.3842206,62538.67140338845,67587.99957806345,67587.99957806345,Healthy
82,3.1456471898,0.98932829978358,6.3535520000000005,3.2975509485354713,6.530864000000001,0.009719240962971649,-0.3388306445535618,2.0197916729510785,21724.297531,516.5334414348572,24032.2,21730.437256101482,4661.630000000001,-0.09832732599975358,0.5097340947703066,1.1062359998387374,3740.461649087675,1417767.946014424,298.27955447532133,2861.959693326395,685.1296081065229,9770.551816648926,1874376464.7721171,179775.3482822757,119826.12368493297,119826.12368493297,Healthy
83,3.241733452,0.9843847007739992,6.478064000000001,3.3878938571925143,6.544287999999999,0.027892194776329003,-0.31143264959499595,1.9983333287329141,21725.9534475,512.1362418889506,23664.45,21731.988638320818,4335.080000000002,-0.10381322724069272,0.4463643969703561,1.0892249243368908,3663.890648850016,1411306.911402102,1875.079195348981,256.0436351366453,2065.133485600905,9731.085846553458,1869450063.769659,90465.55746727555,57789.04844560721,57789.04844560721,Healthy
84,3.1155134548,0.9980693805292992,6.260776,3.2714739295656563,6.543064000000001,-0.003949697124569507,-0.36103021622798837,2.0095486958511337,21737.030776,514.4252480188079,23910.12,21743.116926437593,4600.59,-0.09754452878576007,0.5497404465348734,1.09997176000686,3715.7174685657433,1422242.081033967,1860.81709305345,934.220466303484,1237.3821778346708,9644.846330127784,1856245003.6301446,61025.00897731813,75535.16719098165,75535.16719098165,Healthy
85,3.1641440579999998,0.9773242900577027,6.354776000000001,3.311638040101046,6.280616000000002,0.04670133433652249,-0.3135464707790554,2.0083712636069877,21701.750997749998,511.8676937016333,23856.72,21707.786583481633,4495.310000000001,-0.1073184749023671,0.4950045708397268,1.099299314717666,3660.226281830814,1372737.4266688344,728.2882198684543,1321.2977459917804,743.8738446308889,9576.177532520665,1835319905.7607493,53904.314563601554,106620.98852846392,106620.98852846392,Healthy
86,3.1511894209999998,0.9909432201098974,6.485392000000002,3.303322370476798,6.6846720000000035,0.02407141364039501,-0.3249504536769723,2.0580774855298682,21751.214108750002,518.6714017946033,24155.79,21757.397098509373,4695.200000000001,-0.09716374492087601,0.4320973695302519,1.110549042422542,3657.0954780001925,1408191.3945742582,453.61100138789914,1346.2274503278568,1054.6243794309846,9749.28963637826,1874369739.123333,207890.9936853434,117436.23929247783,117436.23929247783,Healthy
87,3.0997294764,1.0021521240306264,6.563512,3.2576995869539798,6.755472000000002,0.0348955420507712,-0.2990852772028241,2.1174467159059343,21728.41874975,511.97115414888617,23908.6,21734.449366715187,4567.029999999999,-0.11141653074115981,0.5345667262640608,1.1003377776983925,3659.5107872973244,1387573.3723643248,1379.218503370284,1133.9013212700281,1542.0564837893603,9770.54380878788,1871587869.082773,85709.2697103817,61624.47954599837,61624.47954599837,Healthy
88,3.2151633612,0.997812030176009,6.473184000000001,3.366434225712076,6.670024000000002,0.003280587197915205,-0.32858690526988976,2.01332973562625,21755.9269495,517.7955402258419,23925.38,21762.087743381897,4603.639999999999,-0.10702053112308535,0.38623829511680174,1.0997177943985448,3682.511940924243,1418282.6317911327,1244.5341282197521,405.2839484421849,765.2588740428321,9785.912364604417,1880502712.9995608,218387.88895617911,121513.89141432577,121513.89141432577,Healthy
89,3.1579215983999998,1.0048100810010097,6.337679999999999,3.3139231855068685,6.832376,0.022706042417313697,-0.3117260804095441,2.006914928860508,21748.580041,519.4042777951547,23983.370000000003,21754.78126433487,4652.480000000003,-0.11987326889241776,0.41393025886983636,1.1027556720846612,3663.0219783324,1398576.5679175805,949.7443021707576,626.794625468449,1092.3218861929552,9774.363968152531,1879664143.5978866,222061.5396462587,113895.0853847063,113895.0853847063,Healthy
90,3.0805633292,0.9985515079322195,6.646528000000001,3.2383561588524588,6.847032,0.009875623373263942,-0.2966756723763573,2.157569018951497,21736.6764775,519.0941593292583,23801.79,21742.873689953747,4344.25,-0.09843008728402958,0.42322768050346715,1.095005946499578,3678.610199294717,1415182.0742893456,661.9331717824552,1019.5495761233174,1788.203063665489,9784.570682261374,1880483710.065633,73916.63918594626,108693.88466685012,108693.88466685012,Healthy
